month,words per day
2014-08,885
2014-09,2142
2014-10,2061
2014-11,2001
2014-12,2385
2015-01,1997
2015-02,2206
2015-03,1932
2015-04,1938
2015-05,2080
2015-06,1953
2015-07,2232
2015-08,2493
2015-09,1938
2015-10,1657
2015-11,1746
2015-12,1683
2016-01,1940
2016-02,2146
2016-03,1709
2016-04,1780
2016-05,1820
2016-06,1784
2016-07,1607
2016-08,1902
2016-09,1644
2016-10,1724
2016-11,1394
2016-12,1221
2017-01,1446
2017-02,922
2017-03,1044
2017-04,1081
2017-05,750
2017-06,778
2017-07,1221
2017-08,993
2017-09,1004
2017-10,996
2017-11,894
2017-12,1006
2018-01,1181
2018-02,1568
2018-03,595
2018-04,1709
2018-05,1381
2018-06,1628
2018-07,1347
2018-08,1682
2018-09,1013
2018-10,1656
2018-11,1318
2018-12,864
2019-01,1210
2019-02,1039
2019-03,1032
2019-04,1589
2019-05,942
2019-06,1092
2019-07,974
2019-08,1035
2019-09,1066
2019-10,785
2019-11,870
2019-12,1012
2020-01,1197
2020-02,1205
2020-03,1002
2020-04,778
2020-05,720
2020-06,440
2020-07,267
2020-08,426
2020-09,962
2020-10,284
